Report Date,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,Total
Fri 01 Jan 2021,0,0,2,1,5,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,4,0,2,0,1,0,0,0,0,1,0,0,1,1,2,0,1,0,3,0,1,0,1,0,0,1,1,2,0,1,0,3,1,0,1,1,0,2,0,0,1,1,1,0,1,0,1,1,1,3,1,1,0,1,1,2,0,0,0,2,0,3,0,0,1,0,2,2,0,1,1,0,1,0,74
Sat 02 Jan 2021,1,0,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,2,1,1,3,1,2,1,3,3,0,1,0,4,3,1,6,0,2,1,1,2,1,3,1,3,2,3,3,1,5,3,0,4,0,1,0,4,1,1,2,1,2,3,1,1,0,4,1,2,5,1,3,2,1,0,2,1,1,1,1,3,1,1,1,1,0,1,0,0,132
Sun 03 Jan 2021,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,0,0,1,1,1,0,2,1,1,1,0,1,0,3,4,5,0,2,2,1,5,0,3,0,2,2,2,2,1,2,0,2,2,4,1,2,1,2,0,1,1,2,1,3,2,0,0,1,3,1,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,2,95
Mon 04 Jan 2021,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,7,7,10,2,3,2,1,8,1,4,6,2,5,6,4,4,4,4,5,5,2,7,11,6,10,7,4,9,4,8,8,8,2,5,3,4,10,10,14,10,6,5,2,3,5,2,2,5,2,5,2,0,0,0,4,6,1,3,1,1,1,1,2,2,1,1,1,1,3,0,0,1,0,1,314
Tue 05 Jan 2021,0,0,0,2,0,1,2,1,1,0,1,1,0,5,0,0,1,0,0,0,1,0,10,7,6,4,1,2,1,4,1,7,2,7,1,9,6,4,5,6,7,7,8,8,5,7,10,5,9,11,6,5,11,6,7,3,5,5,7,9,10,4,7,8,3,5,2,1,2,2,6,3,0,5,3,2,2,2,1,1,2,2,2,0,2,1,0,1,2,1,0,0,0,1,1,2,326
Wed 06 Jan 2021,1,0,1,0,1,0,0,1,0,0,1,0,1,3,0,4,1,0,2,0,0,2,9,8,15,3,3,2,5,5,4,1,5,0,3,8,6,3,3,9,8,4,10,3,10,9,6,7,14,4,4,10,6,4,9,11,5,10,10,12,7,4,9,6,6,2,2,5,4,1,2,2,3,3,7,1,3,1,0,2,1,0,1,0,2,0,4,3,0,2,0,2,6,1,0,0,358
Thu 07 Jan 2021,0,0,3,3,0,2,0,1,0,0,2,1,0,0,0,3,1,1,0,1,0,0,6,16,7,7,5,5,2,4,7,3,7,3,3,4,7,3,3,5,6,9,10,9,9,6,10,5,15,7,4,3,4,5,6,3,6,7,7,15,11,5,7,9,6,3,2,1,3,7,5,1,5,3,2,0,1,1,1,1,0,2,1,0,3,1,1,0,0,3,1,0,1,1,0,1,350
Fri 08 Jan 2021,0,2,0,0,1,0,0,0,0,1,0,1,0,0,2,2,2,0,2,1,1,5,7,9,11,5,3,2,3,3,0,2,5,6,4,2,6,8,6,11,6,6,5,6,10,2,9,11,5,5,6,7,9,11,11,6,6,6,8,14,4,6,4,3,4,2,1,5,1,0,1,5,1,5,2,0,3,2,0,2,3,3,1,3,2,1,3,1,2,1,0,2,2,0,0,1,338
Sat 09 Jan 2021,0,1,1,1,1,2,1,1,0,2,2,0,0,0,3,3,1,0,0,0,3,2,4,4,6,5,1,3,1,0,0,5,3,1,2,0,1,3,5,1,5,1,7,3,2,1,4,5,5,4,7,7,5,3,2,1,2,5,2,1,2,6,2,3,1,4,1,3,2,3,0,5,2,0,3,0,1,0,1,1,0,1,0,0,0,2,1,1,0,0,1,0,3,2,0,0,192
Sun 10 Jan 2021,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,3,0,3,0,0,1,0,2,0,2,2,1,2,1,0,2,3,2,2,2,3,2,2,3,3,2,1,3,5,4,2,2,3,0,1,2,0,1,2,1,3,0,1,1,3,2,3,3,0,1,0,0,2,0,0,0,1,0,1,0,1,1,1,2,0,0,1,1,1,0,1,109
