,run,d,mu,day
0,70,0,0.0,3
1,71,0,0.0,4
2,72,0,0.0,5
3,73,0,0.0,6
4,74,0,0.0,7
5,75,0,0.1,3
6,76,0,0.1,4
7,77,0,0.1,5
8,78,0,0.1,6
9,79,0,0.1,7
10,80,0,0.2,3
11,81,0,0.2,4
12,82,0,0.2,5
13,83,0,0.2,6
14,84,0,0.2,7
15,85,0,0.30000000000000004,3
16,86,0,0.30000000000000004,4
17,87,0,0.30000000000000004,5
18,88,0,0.30000000000000004,6
19,89,0,0.30000000000000004,7
20,90,0,0.4,3
21,91,0,0.4,4
22,92,0,0.4,5
23,93,0,0.4,6
24,94,0,0.4,7
25,95,0,0.5,3
26,96,0,0.5,4
27,97,0,0.5,5
28,98,0,0.5,6
29,99,0,0.5,7
30,100,0,0.6000000000000001,3
31,101,0,0.6000000000000001,4
32,102,0,0.6000000000000001,5
33,103,0,0.6000000000000001,6
34,104,0,0.6000000000000001,7
35,105,0,0.7000000000000001,3
36,106,0,0.7000000000000001,4
37,107,0,0.7000000000000001,5
38,108,0,0.7000000000000001,6
39,109,0,0.7000000000000001,7
40,110,0,0.8,3
41,111,0,0.8,4
42,112,0,0.8,5
43,113,0,0.8,6
44,114,0,0.8,7
45,115,0,0.9,3
46,116,0,0.9,4
47,117,0,0.9,5
48,118,0,0.9,6
49,119,0,0.9,7
50,120,1,0.0,3
51,121,1,0.0,4
52,122,1,0.0,5
53,123,1,0.0,6
54,124,1,0.0,7
55,125,1,0.1,3
56,126,1,0.1,4
57,127,1,0.1,5
58,128,1,0.1,6
59,129,1,0.1,7
60,130,1,0.2,3
61,131,1,0.2,4
62,132,1,0.2,5
63,133,1,0.2,6
64,134,1,0.2,7
65,135,1,0.30000000000000004,3
66,136,1,0.30000000000000004,4
67,137,1,0.30000000000000004,5
68,138,1,0.30000000000000004,6
69,139,1,0.30000000000000004,7
70,140,1,0.4,3
71,141,1,0.4,4
72,142,1,0.4,5
73,143,1,0.4,6
74,144,1,0.4,7
75,145,1,0.5,3
76,146,1,0.5,4
77,147,1,0.5,5
78,148,1,0.5,6
79,149,1,0.5,7
80,150,1,0.6000000000000001,3
81,151,1,0.6000000000000001,4
82,152,1,0.6000000000000001,5
83,153,1,0.6000000000000001,6
84,154,1,0.6000000000000001,7
85,155,1,0.7000000000000001,3
86,156,1,0.7000000000000001,4
87,157,1,0.7000000000000001,5
88,158,1,0.7000000000000001,6
89,159,1,0.7000000000000001,7
90,160,1,0.8,3
91,161,1,0.8,4
92,162,1,0.8,5
93,163,1,0.8,6
94,164,1,0.8,7
95,165,1,0.9,3
96,166,1,0.9,4
97,167,1,0.9,5
