,nrmse,mape,smape,mae,nmae
0,6.72905247682391e-08,2.1884570430298672e-06,9.585149712903175e-08,6.200953489277089e-08,6.200953489277089e-08
1,2.3743497119559676e-08,1.5391113002461947e-06,2.9211765101603784e-08,2.437299307047585e-08,2.437299307047585e-08
2,3.439270920980509e-08,1.6248892489479665e-06,3.374002944361907e-08,3.4156146970246124e-08,3.428080443791238e-08
3,9.19601147649197e-08,3.7326249192580303e-06,2.0575953433151413e-07,8.895733569658064e-08,8.895733569658064e-08
4,1.1896267049261844e-07,2.1617861883689316e-06,1.9498671044735154e-07,1.0837836652908412e-07,1.0837836652908412e-07
5,3.603518577323644e-08,2.2789241955918407e-06,4.5378766818048635e-08,3.866365458103457e-08,3.87044820912501e-08
6,4.899207779331062e-08,3.1826667023069823e-06,4.511712055038492e-08,4.730078078353629e-08,4.730078078353629e-08
7,7.365795307638534e-08,1.3417280514709946e-06,1.4019557131766226e-07,6.764508708052008e-08,6.764508708052008e-08
8,4.9960191367468545e-08,1.9762146568360533e-06,4.713570546617867e-08,3.371657546442456e-08,3.371657546442456e-08
9,6.57169613571106e-08,1.5508230740845007e-06,1.3488679228999398e-07,6.216232126136066e-08,6.216232126136066e-08
