,nrmse,mape,smape,mae
0,5.887213200595827e-08,9.450501038002597e-07,1.3298996686527196e-07,6.098476344797147e-08
1,7.14051867034659e-08,1.1882568473628788e-06,1.5085225233974475e-07,4.265201338189603e-08
2,6.124071937674318e-08,1.4708969933388642e-06,4.76675573192956e-07,7.78815497821537e-08
3,4.6559462860186484e-08,9.751459429057465e-07,1.218925329486684e-07,7.97383040332815e-08
4,2.3330143450303002e-07,8.950073038080995e-07,8.877948110157323e-07,4.471915835495079e-07
5,8.479193660854362e-08,2.319554298399107e-06,3.054906971976584e-07,7.177667152219023e-08
6,2.466914394234197e-08,1.0414010430191353e-06,1.1370417755291876e-07,1.5887585485745354e-08
7,7.319990262155586e-08,1.9627337925202125e-06,3.1057307949451536e-07,9.058624403342886e-08
8,8.561457096674954e-08,2.4913435979913824e-06,5.708101558206637e-07,5.538840450938138e-08
9,4.2817072252803305e-08,6.005776170064169e-07,2.1444556200090848e-07,5.595040468155298e-08
