,nrmse,mape,smape,mae,nmae
0,0.0,1.1390647892519134e-16,0.0,2.8476619731297836e-17,0.0
1,2.8476619731297836e-17,0.0,1.1390647892519134e-16,2.8476619731297836e-17,2.8476619731297836e-17
2,0.0,0.0,5.695323946259567e-17,1.4238309865648918e-17,0.0
3,2.8476619731297836e-17,1.1390647892519134e-16,5.695323946259567e-17,1.4238309865648918e-17,0.0
4,0.0,0.0,1.1390647892519134e-16,0.0,0.0
5,0.0,0.0,5.695323946259567e-17,1.4238309865648918e-17,0.0
6,2.8476619731297836e-17,1.1390647892519134e-16,5.695323946259567e-17,1.4238309865648918e-17,1.4238309865648918e-17
7,2.8476619731297836e-17,0.0,5.695323946259567e-17,1.4238309865648918e-17,1.4238309865648918e-17
8,0.0,0.0,5.695323946259567e-17,1.4238309865648918e-17,1.4238309865648918e-17
9,2.8476619731297836e-17,1.1390647892519134e-16,0.0,0.0,0.0
